2024/04/05 03:01:58 [error] 46108#23456: *328 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/upgrade.php?step=upgrade_db HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004"
2024/04/05 13:25:14 [error] 14132#42744: *1206 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /images/700x700_2.jpg HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1208 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /wp-content/themes/convertTheme/assets/fonts/flaticon.ttf?37838e573d8eb3b9effe3d291aafe6ff HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/wp-content/themes/convertTheme/assets/css/flaticon.css?ver=6.5"
2024/04/05 13:25:14 [error] 14132#42744: *1208 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /wp-content/themes/convertTheme/assets/fonts/flaticon.ttf?37838e573d8eb3b9effe3d291aafe6ff HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/wp-content/themes/convertTheme/assets/css/flaticon.css?ver=6.5"
2024/04/05 13:25:14 [error] 14132#42744: *1202 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /images/promo-07.jpg HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1202 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/promo-07.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1207 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /images/promo-06.jpg HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1207 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/promo-06.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1205 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /images/slider/slide-5.jpg HTTP/1.1", upstream: "fastcgi://127.0.0.1:10003", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1205 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/slider/slide-5.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1203 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: ::1, server: , request: "GET /images/slider/slide-4.jpg HTTP/1.1", upstream: "fastcgi://127.0.0.1:10002", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1203 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/slider/slide-4.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1203 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/800x700_1.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1202 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/gallery/700x800_1.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1205 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/polish.png HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
2024/04/05 13:25:14 [error] 14132#42744: *1207 no live upstreams while connecting to upstream, client: ::1, server: , request: "GET /images/gallery/700x900_1.jpg HTTP/1.1", upstream: "fastcgi://php", host: "localhost:10004", referrer: "http://localhost:10004/?customize_changeset_uuid=592cf795-a01a-4d3b-ba88-fec89f506208&customize_theme=convertTheme&customize_messenger_channel=preview-0"
